"YLR044C"	"YHR174W"	"YPR035W"
"589_Glutamine"	18	7	0
"590_Glutamine"	8	4	0
"591_Glutamine"	35	28	1
"592_Glutamine"	4	7	2
"593_Glutamine"	39	30	3
"594_Glutamine"	24	20	0
"595_Glutamine"	23	16	0
"596_Glutamine"	83	44	4
"597_Glutamine"	135	95	11
"598_Glutamine"	12	4	1
"599_Glutamine"	30	32	5
"600_Glutamine"	8	9	2
"601_Glutamine"	42	34	2
"602_Glutamine"	42	46	2
"603_Glutamine"	7	6	0
"604_Glutamine"	70	30	4
"605_Glutamine"	105	57	5
"606_Glutamine"	33	28	0
"607_Glutamine"	55	31	3
"608_Glutamine"	97	72	10
"609_Glutamine"	32	14	5
"610_Glutamine"	27	15	3
"611_Glutamine"	28	19	0
"612_Glutamine"	60	22	0
"613_Glutamine"	29	15	1
"614_Glutamine"	55	10	0
"615_Glutamine"	54	23	2
"616_Glutamine"	29	19	2
"617_Glutamine"	36	16	0
"618_Glutamine"	15	7	1
"619_Glutamine"	37	46	2
"620_Glutamine"	73	70	16
"621_Glutamine"	66	20	3
"622_Glutamine"	82	85	5
"623_Glutamine"	114	78	4
"624_Glutamine"	23	25	2
"625_Glutamine"	65	78	7
"626_Glutamine"	44	47	4
"627_Glutamine"	80	68	1
"628_Glutamine"	11	6	0
"629_Glutamine"	103	37	2
"630_Glutamine"	8	7	1
"631_Glutamine"	93	46	1
"632_Glutamine"	17	18	0
"633_Glutamine"	115	80	17
"634_Glutamine"	27	25	3
"635_Glutamine"	15	21	0
"636_Glutamine"	8	10	1
"637_Glutamine"	21	10	0
"638_Glutamine"	34	34	5
"639_Glutamine"	79	61	4
"640_Glutamine"	46	44	18
"641_Glutamine"	9	7	0
"642_Glutamine"	31	27	5
"643_Glutamine"	27	17	0
"644_Glutamine"	24	21	2
"645_Glutamine"	30	22	1
"646_Glutamine"	70	88	5
"647_Glutamine"	133	28	0
"648_Glutamine"	125	89	6
"649_Glutamine"	25	9	0
"650_Glutamine"	20	16	2
"651_Glutamine"	47	21	9
"652_Glutamine"	17	20	0
"653_Glutamine"	29	15	0
"654_Glutamine"	247	150	0
"655_Glutamine"	71	58	6
"656_Glutamine"	7	8	1
"657_Glutamine"	12	8	2
"658_Glutamine"	52	56	9
"659_Glutamine"	19	3	1
"660_Glutamine"	72	46	5
"661_Glutamine"	43	36	0
"662_Glutamine"	22	11	1
"663_Glutamine"	23	14	4
"664_Glutamine"	28	33	2
"665_Glutamine"	99	31	5
"666_Glutamine"	19	15	3
"667_Glutamine"	38	31	3
"668_Glutamine"	37	26	0
"669_Glutamine"	123	199	36
"670_Glutamine"	27	19	1
"671_Glutamine"	32	27	6
"672_Glutamine"	34	24	0
"673_Glutamine"	42	25	5
"674_Glutamine"	5	11	1
"675_Glutamine"	36	43	8
"676_Glutamine"	15	4	1
"677_Glutamine"	9	5	0
"678_Glutamine"	4	8	0
"679_Glutamine"	67	58	5
"680_Glutamine"	5	10	4
"681_Glutamine"	4	9	3
"682_Glutamine"	67	39	2
"683_Glutamine"	59	46	4
"684_Glutamine"	6	7	0
"685_Glutamine"	111	84	14
"686_Glutamine"	40	38	3
"687_Glutamine"	16	4	1
"688_Glutamine"	71	19	0
"689_Glutamine"	35	20	2
"690_Glutamine"	15	11	1
"691_Glutamine"	17	21	2
"692_Glutamine"	54	33	1
"693_Glutamine"	12	10	1
"694_Glutamine"	9	6	1
"695_Glutamine"	6	7	0
"696_Glutamine"	59	37	3
"697_Glutamine"	33	21	3
"698_Glutamine"	24	24	0
"699_Glutamine"	21	13	1
"700_Glutamine"	17	13	2
"701_Glutamine"	16	14	0
"702_Glutamine"	8	8	2
"703_Glutamine"	20	21	1
"704_Glutamine"	106	106	19
"705_Glutamine"	61	41	0
"706_Glutamine"	23	8	2
"707_Glutamine"	19	25	2
"708_Glutamine"	36	38	2
"709_Glutamine"	125	96	18
"710_Glutamine"	10	3	1
"711_Glutamine"	174	30	2
"712_Glutamine"	23	21	1
"713_Glutamine"	15	5	1
"714_Glutamine"	7	2	0
"715_Glutamine"	32	14	0
"716_Glutamine"	77	12	1
"717_Glutamine"	31	8	1
"718_Glutamine"	29	22	0
"719_Glutamine"	93	84	7
"720_Glutamine"	33	24	3
"721_Glutamine"	49	52	0
"722_Glutamine"	19	18	0
"723_Glutamine"	10	5	1
"724_Glutamine"	59	41	3
"725_Glutamine"	20	15	5
"726_Glutamine"	56	49	8
"727_Glutamine"	21	19	0
"728_Glutamine"	44	19	4
"729_Glutamine"	40	15	1
"730_Glutamine"	74	6	2
"731_Glutamine"	24	11	1
"732_Glutamine"	96	122	13
"733_Glutamine"	169	86	5
"734_Glutamine"	11	2	1
"735_Glutamine"	30	21	1
"736_Glutamine"	70	50	3
"737_Glutamine"	97	54	13
"738_Glutamine"	18	20	0
"739_Glutamine"	116	70	1
"740_Glutamine"	28	22	2
"741_Glutamine"	22	23	2
"742_Glutamine"	34	24	6
"743_Glutamine"	19	13	0
"744_Glutamine"	78	40	0
"745_Glutamine"	31	16	2
"746_Glutamine"	8	5	1
"747_Glutamine"	32	20	1
"748_Glutamine"	27	29	1
"749_Glutamine"	68	100	7
"750_Glutamine"	23	8	2
"751_Glutamine"	5	4	2
"752_Glutamine"	63	36	11
"753_Glutamine"	33	26	3
"754_Glutamine"	40	31	5
"755_Glutamine"	34	14	1
"756_Glutamine"	53	42	0
"757_Glutamine"	9	3	0
"758_Glutamine"	19	16	3
"759_Glutamine"	56	23	2
"760_Glutamine"	24	16	3
"761_Glutamine"	69	34	2
"762_Glutamine"	56	39	8
"763_Glutamine"	224	130	11
"764_Glutamine"	46	25	0
