Fabp7	Sox11	Cd24a
0.0	13.0	9.0
30.0	21.0	4.0
31.0	0.0	3.0
80.0	0.0	1.0
319.0	22.0	9.0
4.0	0.0	1.0
169.0	1.0	4.0
48.0	2.0	0.0
98.0	0.0	0.0
68.0	1.0	3.0
116.0	2.0	1.0
27.0	0.0	2.0
32.0	14.0	1.0
112.0	5.0	6.0
0.0	5.0	0.0
84.0	1.0	0.0
49.0	0.0	0.0
312.0	17.0	11.0
12.0	3.0	3.0
3.0	12.0	3.0
157.0	0.0	0.0
43.0	0.0	0.0
122.0	0.0	0.0
8.0	2.0	0.0
142.0	13.0	6.0
0.0	0.0	0.0
12.0	12.0	0.0
156.0	4.0	1.0
232.0	0.0	3.0
68.0	1.0	0.0
34.0	0.0	1.0
0.0	2.0	14.0
5.0	1.0	1.0
368.0	0.0	0.0
159.0	1.0	1.0
147.0	4.0	3.0
78.0	1.0	2.0
94.0	1.0	0.0
236.0	0.0	0.0
149.0	0.0	0.0
1.0	0.0	0.0
53.0	1.0	0.0
183.0	3.0	1.0
4.0	7.0	1.0
0.0	16.0	2.0
66.0	2.0	1.0
93.0	3.0	0.0
15.0	2.0	0.0
152.0	1.0	0.0
122.0	4.0	1.0
0.0	4.0	6.0
245.0	17.0	2.0
461.0	1.0	3.0
0.0	3.0	4.0
105.0	0.0	1.0
146.0	5.0	1.0
70.0	2.0	1.0
1.0	2.0	1.0
1.0	11.0	2.0
50.0	5.0	1.0
4.0	5.0	0.0
1.0	4.0	3.0
0.0	23.0	8.0
0.0	3.0	4.0
270.0	1.0	0.0
79.0	7.0	1.0
39.0	3.0	2.0
17.0	3.0	0.0
39.0	0.0	0.0
109.0	2.0	4.0
287.0	5.0	3.0
1.0	19.0	9.0
6.0	4.0	4.0
48.0	0.0	2.0
126.0	1.0	0.0
30.0	5.0	1.0
2.0	0.0	1.0
0.0	1.0	13.0
200.0	2.0	1.0
0.0	3.0	1.0
0.0	12.0	15.0
17.0	0.0	2.0
3.0	47.0	18.0
327.0	0.0	0.0
0.0	5.0	6.0
1.0	33.0	11.0
4.0	2.0	0.0
338.0	5.0	1.0
0.0	33.0	16.0
57.0	2.0	0.0
82.0	1.0	0.0
70.0	0.0	1.0
0.0	26.0	5.0
48.0	0.0	1.0
8.0	4.0	4.0
201.0	3.0	1.0
2.0	9.0	2.0
120.0	1.0	1.0
55.0	0.0	0.0
1.0	6.0	6.0
1.0	22.0	13.0
54.0	1.0	2.0
101.0	3.0	0.0
163.0	2.0	2.0
0.0	6.0	4.0
52.0	0.0	0.0
326.0	2.0	1.0
3.0	0.0	0.0
19.0	26.0	9.0
3.0	5.0	1.0
196.0	1.0	0.0
7.0	12.0	3.0
129.0	2.0	0.0
2.0	9.0	1.0
113.0	21.0	6.0
50.0	4.0	3.0
0.0	0.0	4.0
124.0	6.0	3.0
0.0	24.0	31.0
2.0	4.0	5.0
22.0	1.0	0.0
251.0	10.0	4.0
172.0	1.0	1.0
127.0	0.0	0.0
316.0	1.0	1.0
31.0	0.0	0.0
104.0	0.0	0.0
17.0	21.0	6.0
27.0	1.0	0.0
36.0	2.0	1.0
103.0	0.0	0.0
29.0	0.0	0.0
15.0	4.0	1.0
36.0	3.0	1.0
18.0	11.0	3.0
187.0	2.0	1.0
246.0	1.0	1.0
24.0	15.0	13.0
115.0	4.0	2.0
87.0	0.0	0.0
98.0	4.0	2.0
34.0	2.0	6.0
19.0	0.0	1.0
215.0	0.0	1.0
210.0	0.0	0.0
6.0	5.0	3.0
193.0	19.0	8.0
14.0	1.0	0.0
8.0	1.0	1.0
199.0	3.0	0.0
5.0	10.0	14.0
53.0	2.0	0.0
231.0	0.0	1.0
0.0	11.0	5.0
6.0	20.0	7.0
3.0	13.0	3.0
2.0	13.0	12.0
3.0	8.0	3.0
93.0	3.0	1.0
1.0	4.0	1.0
8.0	1.0	0.0
168.0	1.0	1.0
12.0	9.0	3.0
6.0	6.0	4.0
