"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"YDL020C"	15	10	3	17	7	5	13	9	5	7	9	9
"YDL019C"	9	5	7	15	10	9	33	31	12	18	25	20
"YDL018C"	23	19	6	23	24	15	60	70	28	45	64	49
"YDL017W"	7	1	0	5	3	2	4	13	3	1	1	3
"YDL016C"	0	2	0	2	0	1	1	4	2	2	2	0
"YDL015C"	14	20	5	18	21	9	20	26	11	15	18	15
"YDL014W"	262	277	114	306	278	200	14	6	5	14	7	7
"YDL013W"	3	7	4	5	7	7	10	14	9	18	8	6
"YDL012C"	61	53	20	51	52	40	50	51	21	47	43	28
"YDL011C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL010W"	14	17	4	20	25	17	41	56	16	45	49	36
"YDL009C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL008W"	36	30	12	19	24	34	39	52	16	40	54	34
"YDL007C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL007W"	70	63	28	89	75	62	116	122	69	85	120	69
"YDL006W"	9	13	2	8	8	5	9	7	6	7	12	11
"YDL005C"	2	5	0	7	2	2	5	5	0	2	9	2
"YDL004W"	166	154	73	191	164	113	232	318	126	251	272	199
"YDL003W"	3	5	0	10	2	5	7	10	5	7	10	4
"YDL002C"	32	27	6	31	26	23	25	34	17	29	31	24
"YDL001W"	14	12	5	10	11	15	11	14	7	12	10	7
"YDR001C"	2	6	1	7	6	2	55	70	33	57	72	45
"YDR002W"	234	236	83	244	239	182	191	267	124	202	254	190
"YDR003W"	3	0	1	1	1	0	4	6	2	4	5	1
"YDR003W.A"	3	4	1	1	2	1	9	11	5	6	14	9
"YDR004W"	1	2	2	5	0	3	3	3	2	4	6	6
"YDR005C"	12	5	4	10	15	15	20	27	14	13	21	20
"YDR006C"	8	4	2	10	9	3	9	7	4	12	4	4
"YDR007W"	41	44	20	49	38	33	57	81	27	91	85	58
"YDR008C"	0	0	0	0	0	0	0	0	1	0	0	0
