Fabp7	Sox11	Cd24a
0.0	8.0	0.0
1.0	15.0	2.0
5.0	0.0	1.0
4.0	5.0	3.0
0.0	2.0	2.0
0.0	10.0	1.0
0.0	3.0	2.0
0.0	4.0	4.0
0.0	5.0	6.0
1.0	6.0	2.0
1.0	4.0	7.0
1.0	7.0	2.0
0.0	7.0	3.0
0.0	1.0	1.0
1.0	2.0	2.0
0.0	3.0	0.0
0.0	12.0	6.0
0.0	9.0	2.0
0.0	4.0	3.0
1.0	16.0	4.0
0.0	9.0	0.0
0.0	4.0	1.0
1.0	5.0	4.0
3.0	21.0	10.0
3.0	27.0	14.0
1.0	19.0	7.0
2.0	14.0	3.0
0.0	12.0	4.0
2.0	6.0	7.0
2.0	7.0	8.0
1.0	1.0	1.0
0.0	3.0	1.0
0.0	11.0	3.0
0.0	9.0	3.0
0.0	1.0	3.0
0.0	3.0	6.0
1.0	2.0	5.0
377.0	20.0	7.0
0.0	4.0	5.0
0.0	2.0	5.0
0.0	49.0	16.0
0.0	17.0	8.0
1.0	12.0	6.0
0.0	7.0	0.0
0.0	4.0	1.0
1.0	9.0	5.0
0.0	8.0	1.0
1.0	10.0	5.0
0.0	9.0	2.0
0.0	5.0	2.0
0.0	9.0	5.0
0.0	4.0	1.0
0.0	4.0	2.0
0.0	10.0	1.0
1.0	8.0	5.0
0.0	7.0	3.0
0.0	3.0	3.0
1.0	6.0	12.0
1.0	4.0	6.0
0.0	7.0	5.0
0.0	3.0	2.0
2.0	4.0	2.0
0.0	17.0	4.0
1.0	4.0	1.0
0.0	8.0	2.0
2.0	2.0	1.0
0.0	4.0	5.0
0.0	1.0	2.0
3.0	20.0	9.0
1.0	6.0	3.0
0.0	11.0	8.0
2.0	14.0	9.0
1.0	8.0	2.0
2.0	32.0	6.0
3.0	19.0	2.0
0.0	5.0	4.0
1.0	1.0	1.0
0.0	28.0	13.0
2.0	4.0	3.0
0.0	18.0	12.0
1.0	14.0	3.0
11.0	11.0	2.0
0.0	5.0	8.0
0.0	0.0	0.0
0.0	2.0	4.0
0.0	9.0	2.0
0.0	0.0	0.0
0.0	6.0	3.0
2.0	27.0	8.0
0.0	0.0	0.0
1.0	2.0	3.0
0.0	2.0	1.0
1.0	2.0	1.0
0.0	19.0	6.0
0.0	1.0	0.0
1.0	4.0	3.0
0.0	3.0	0.0
0.0	12.0	9.0
2.0	7.0	10.0
1.0	3.0	7.0
14.0	11.0	4.0
0.0	5.0	4.0
0.0	4.0	0.0
1.0	4.0	7.0
1.0	9.0	2.0
0.0	3.0	1.0
0.0	28.0	9.0
0.0	9.0	2.0
0.0	0.0	1.0
1.0	2.0	1.0
1.0	10.0	2.0
0.0	28.0	10.0
2.0	5.0	5.0
0.0	8.0	8.0
0.0	17.0	6.0
0.0	5.0	0.0
0.0	23.0	5.0
1.0	8.0	8.0
2.0	13.0	0.0
0.0	2.0	4.0
1.0	6.0	8.0
0.0	3.0	2.0
3.0	11.0	4.0
0.0	6.0	2.0
61.0	5.0	0.0
0.0	4.0	0.0
0.0	7.0	2.0
0.0	1.0	2.0
0.0	5.0	4.0
0.0	6.0	5.0
0.0	11.0	6.0
0.0	3.0	3.0
0.0	1.0	3.0
0.0	8.0	5.0
1.0	9.0	2.0
0.0	14.0	5.0
1.0	4.0	1.0
1.0	4.0	3.0
0.0	4.0	2.0
2.0	1.0	1.0
0.0	3.0	6.0
2.0	3.0	3.0
1.0	2.0	0.0
0.0	3.0	0.0
0.0	4.0	1.0
4.0	24.0	15.0
0.0	27.0	12.0
0.0	19.0	5.0
1.0	6.0	3.0
0.0	7.0	0.0
0.0	5.0	3.0
1.0	7.0	4.0
1.0	7.0	6.0
0.0	2.0	0.0
0.0	48.0	19.0
1.0	6.0	6.0
1.0	20.0	16.0
0.0	8.0	2.0
0.0	3.0	1.0
1.0	5.0	1.0
4.0	25.0	6.0
0.0	3.0	1.0
1.0	19.0	3.0
0.0	7.0	4.0
0.0	6.0	6.0
1.0	3.0	1.0
4.0	2.0	4.0
0.0	12.0	4.0
0.0	1.0	3.0
1.0	3.0	3.0
7.0	9.0	3.0
0.0	11.0	2.0
0.0	9.0	4.0
2.0	30.0	7.0
0.0	28.0	3.0
0.0	4.0	1.0
0.0	13.0	4.0
0.0	12.0	2.0
0.0	2.0	0.0
0.0	19.0	2.0
2.0	4.0	2.0
0.0	3.0	3.0
0.0	5.0	3.0
11.0	11.0	10.0
0.0	1.0	0.0
2.0	0.0	2.0
0.0	16.0	0.0
0.0	11.0	2.0
1.0	9.0	4.0
0.0	18.0	19.0
167.0	2.0	1.0
0.0	3.0	0.0
0.0	5.0	7.0
2.0	16.0	1.0
0.0	3.0	4.0
1.0	19.0	10.0
0.0	1.0	3.0
0.0	20.0	14.0
1.0	3.0	2.0
0.0	2.0	5.0
0.0	3.0	4.0
1.0	17.0	13.0
0.0	3.0	1.0
1.0	10.0	4.0
0.0	2.0	1.0
0.0	11.0	6.0
0.0	10.0	5.0
1.0	9.0	9.0
121.0	25.0	10.0
1.0	3.0	0.0
0.0	5.0	6.0
0.0	8.0	7.0
2.0	3.0	1.0
1.0	3.0	0.0
1.0	8.0	3.0
0.0	3.0	3.0
0.0	37.0	11.0
0.0	2.0	9.0
1.0	6.0	1.0
1.0	10.0	14.0
3.0	0.0	2.0
0.0	2.0	2.0
1.0	2.0	2.0
0.0	5.0	2.0
0.0	2.0	2.0
1.0	6.0	3.0
0.0	5.0	0.0
0.0	14.0	4.0
0.0	6.0	4.0
0.0	4.0	1.0
0.0	6.0	5.0
1.0	8.0	1.0
1.0	1.0	0.0
0.0	5.0	3.0
0.0	3.0	6.0
1.0	2.0	10.0
105.0	0.0	3.0
0.0	33.0	6.0
0.0	1.0	3.0
1.0	3.0	5.0
1.0	1.0	4.0
0.0	13.0	2.0
1.0	19.0	6.0
0.0	11.0	4.0
1.0	5.0	5.0
0.0	7.0	3.0
0.0	5.0	1.0
2.0	6.0	1.0
0.0	1.0	7.0
0.0	12.0	3.0
1.0	1.0	2.0
