"YLR044C"	"YHR174W"	"YPR035W"
"396_YPDRapa"	22	28	5
"397_YPDRapa"	21	31	1
"398_YPDRapa"	43	27	5
"399_YPDRapa"	69	76	22
"400_YPDRapa"	42	53	4
"401_YPDRapa"	53	55	15
"402_YPDRapa"	25	26	7
"403_YPDRapa"	22	24	3
"404_YPDRapa"	68	46	9
"405_YPDRapa"	61	41	4
"406_YPDRapa"	61	73	20
"407_YPDRapa"	51	50	4
"408_YPDRapa"	12	10	4
"409_YPDRapa"	18	18	9
"410_YPDRapa"	68	42	8
"411_YPDRapa"	37	48	10
"412_YPDRapa"	140	135	23
"413_YPDRapa"	21	31	8
"414_YPDRapa"	35	49	11
"415_YPDRapa"	19	22	3
"416_YPDRapa"	7	21	3
"417_YPDRapa"	17	15	4
"418_YPDRapa"	49	50	10
"419_YPDRapa"	15	39	8
"420_YPDRapa"	28	21	6
"421_YPDRapa"	70	79	20
"422_YPDRapa"	26	26	6
"423_YPDRapa"	17	18	4
"424_YPDRapa"	14	22	8
"425_YPDRapa"	17	23	5
"426_YPDRapa"	46	53	6
"427_YPDRapa"	35	35	3
"428_YPDRapa"	40	77	15
"429_YPDRapa"	33	33	5
"430_YPDRapa"	15	13	8
"431_YPDRapa"	15	21	7
"432_YPDRapa"	51	23	3
"433_YPDRapa"	37	48	7
"434_YPDRapa"	47	37	1
"435_YPDRapa"	33	43	8
"436_YPDRapa"	25	38	13
"437_YPDRapa"	16	17	2
"438_YPDRapa"	16	17	2
"439_YPDRapa"	14	23	3
"440_YPDRapa"	14	11	8
"441_YPDRapa"	41	26	4
"442_YPDRapa"	19	42	12
"443_YPDRapa"	89	91	16
"444_YPDRapa"	57	44	23
"445_YPDRapa"	43	43	9
"446_YPDRapa"	56	74	18
"447_YPDRapa"	23	23	5
"448_YPDRapa"	31	15	5
"449_YPDRapa"	39	53	6
"450_YPDRapa"	19	19	8
"451_YPDRapa"	23	27	5
"452_YPDRapa"	11	15	1
"453_YPDRapa"	19	25	5
"454_YPDRapa"	16	29	7
"455_YPDRapa"	17	27	3
"456_YPDRapa"	45	54	6
"457_YPDRapa"	18	21	3
"458_YPDRapa"	80	72	12
"459_YPDRapa"	35	32	3
"460_YPDRapa"	19	32	7
"461_YPDRapa"	73	76	12
"462_YPDRapa"	20	21	7
"463_YPDRapa"	29	20	0
"464_YPDRapa"	20	22	3
"465_YPDRapa"	69	90	18
"466_YPDRapa"	16	12	4
"467_YPDRapa"	30	24	4
"468_YPDRapa"	22	33	3
"469_YPDRapa"	10	18	5
"470_YPDRapa"	17	25	5
"471_YPDRapa"	28	20	3
"472_YPDRapa"	19	9	1
"473_YPDRapa"	37	61	15
"474_YPDRapa"	64	52	12
"475_YPDRapa"	56	46	4
"476_YPDRapa"	44	49	8
"477_YPDRapa"	14	12	0
"478_YPDRapa"	26	44	6
"479_YPDRapa"	9	12	2
"480_YPDRapa"	32	25	3
"481_YPDRapa"	31	37	5
"482_YPDRapa"	53	57	12
"483_YPDRapa"	72	70	22
"484_YPDRapa"	58	45	9
"485_YPDRapa"	26	46	3
"486_YPDRapa"	59	60	11
"487_YPDRapa"	11	15	2
"488_YPDRapa"	22	17	9
"489_YPDRapa"	25	22	11
"490_YPDRapa"	12	14	2
"491_YPDRapa"	79	55	8
"492_YPDRapa"	47	55	8
"493_YPDRapa"	25	31	3
"494_YPDRapa"	28	23	1
"495_YPDRapa"	39	53	9
"496_YPDRapa"	24	27	5
"497_YPDRapa"	15	11	4
"498_YPDRapa"	30	52	2
"499_YPDRapa"	15	25	7
"500_YPDRapa"	13	12	6
"501_YPDRapa"	52	36	7
"502_YPDRapa"	23	28	4
"503_YPDRapa"	21	29	17
"504_YPDRapa"	20	17	5
"505_YPDRapa"	34	24	4
"506_YPDRapa"	46	62	9
"507_YPDRapa"	40	29	3
"508_YPDRapa"	39	17	4
"509_YPDRapa"	32	38	4
"510_YPDRapa"	52	46	15
"511_YPDRapa"	45	37	6
"512_YPDRapa"	41	57	5
"513_YPDRapa"	16	26	2
"514_YPDRapa"	26	26	2
"515_YPDRapa"	42	65	11
"516_YPDRapa"	40	44	13
"517_YPDRapa"	8	14	0
"518_YPDRapa"	5	11	4
"519_YPDRapa"	55	62	15
"520_YPDRapa"	18	31	2
"521_YPDRapa"	16	23	4
"522_YPDRapa"	39	37	8
"523_YPDRapa"	70	31	4
"524_YPDRapa"	13	13	3
"525_YPDRapa"	65	84	22
"526_YPDRapa"	11	30	4
"527_YPDRapa"	55	49	10
"528_YPDRapa"	33	29	6
"529_YPDRapa"	5	13	4
"530_YPDRapa"	83	83	22
"531_YPDRapa"	13	24	4
"532_YPDRapa"	70	70	13
"533_YPDRapa"	26	21	2
"534_YPDRapa"	43	54	12
"535_YPDRapa"	20	23	5
"536_YPDRapa"	18	18	6
"537_YPDRapa"	68	74	19
"538_YPDRapa"	50	63	19
"539_YPDRapa"	40	52	11
"540_YPDRapa"	39	38	7
"541_YPDRapa"	26	40	6
"542_YPDRapa"	52	27	6
"543_YPDRapa"	35	33	5
"544_YPDRapa"	21	39	9
"545_YPDRapa"	20	29	12
"546_YPDRapa"	27	36	8
"547_YPDRapa"	22	35	4
"548_YPDRapa"	22	21	1
"549_YPDRapa"	10	14	1
"550_YPDRapa"	28	19	1
"551_YPDRapa"	43	46	2
"552_YPDRapa"	173	140	22
"553_YPDRapa"	17	35	3
"554_YPDRapa"	6	20	6
"555_YPDRapa"	23	32	8
"556_YPDRapa"	12	16	1
"557_YPDRapa"	19	21	5
"558_YPDRapa"	40	23	8
"559_YPDRapa"	120	95	20
"560_YPDRapa"	22	18	6
"561_YPDRapa"	48	68	14
"562_YPDRapa"	15	23	4
"563_YPDRapa"	49	46	17
"564_YPDRapa"	75	67	6
"565_YPDRapa"	24	17	10
"566_YPDRapa"	12	9	1
"567_YPDRapa"	17	15	9
"568_YPDRapa"	15	19	6
"569_YPDRapa"	33	33	6
"570_YPDRapa"	7	18	3
"571_YPDRapa"	81	109	18
"572_YPDRapa"	38	39	17
"573_YPDRapa"	46	64	15
"574_YPDRapa"	58	41	13
"575_YPDRapa"	56	49	6
"576_YPDRapa"	57	67	8
"577_YPDRapa"	44	74	10
"578_YPDRapa"	11	15	6
"579_YPDRapa"	58	54	3
"580_YPDRapa"	13	15	2
"581_YPDRapa"	12	15	1
"582_YPDRapa"	76	53	5
"583_YPDRapa"	15	21	2
"584_YPDRapa"	25	32	3
"585_YPDRapa"	47	64	8
"586_YPDRapa"	14	32	10
"587_YPDRapa"	6	12	1
"588_YPDRapa"	31	24	9
"589_YPDRapa"	26	29	2
"590_YPDRapa"	11	33	10
"591_YPDRapa"	26	23	4
"592_YPDRapa"	8	11	4
"593_YPDRapa"	67	78	12
"594_YPDRapa"	23	33	3
"595_YPDRapa"	26	23	5
"596_YPDRapa"	30	44	2
"597_YPDRapa"	14	19	3
"598_YPDRapa"	7	8	4
"599_YPDRapa"	12	23	4
"600_YPDRapa"	34	39	6
"601_YPDRapa"	78	81	19
"602_YPDRapa"	17	38	2
"603_YPDRapa"	11	6	5
"604_YPDRapa"	22	18	9
"605_YPDRapa"	17	28	7
"606_YPDRapa"	48	44	9
"607_YPDRapa"	15	25	7
"608_YPDRapa"	23	25	4
"609_YPDRapa"	15	10	7
"610_YPDRapa"	21	14	9
"611_YPDRapa"	34	25	10
"612_YPDRapa"	38	46	3
"613_YPDRapa"	26	28	6
"614_YPDRapa"	31	18	4
"615_YPDRapa"	29	30	9
"616_YPDRapa"	22	44	4
"617_YPDRapa"	15	18	0
"618_YPDRapa"	39	20	0
"619_YPDRapa"	27	12	0
"620_YPDRapa"	22	11	1
"621_YPDRapa"	16	21	3
"622_YPDRapa"	38	47	5
"623_YPDRapa"	20	19	1
"624_YPDRapa"	80	74	17
"625_YPDRapa"	32	25	5
"626_YPDRapa"	36	46	0
"627_YPDRapa"	22	30	3
"628_YPDRapa"	28	54	10
"629_YPDRapa"	33	54	9
"630_YPDRapa"	61	79	10
"631_YPDRapa"	52	65	14
"632_YPDRapa"	27	27	0
"633_YPDRapa"	10	10	6
"634_YPDRapa"	74	92	18
"635_YPDRapa"	73	59	12
"636_YPDRapa"	40	39	3
"637_YPDRapa"	9	5	3
"638_YPDRapa"	22	17	7
"639_YPDRapa"	17	23	4
"640_YPDRapa"	19	19	3
"641_YPDRapa"	26	24	7
"642_YPDRapa"	36	33	12
"643_YPDRapa"	72	76	19
"644_YPDRapa"	34	42	10
"645_YPDRapa"	37	32	3
"646_YPDRapa"	5	11	3
"647_YPDRapa"	17	19	6
"648_YPDRapa"	105	104	37
"649_YPDRapa"	17	21	4
"650_YPDRapa"	13	21	4
"651_YPDRapa"	21	15	3
"652_YPDRapa"	15	14	5
"653_YPDRapa"	17	24	2
"654_YPDRapa"	13	24	9
"655_YPDRapa"	27	20	1
"656_YPDRapa"	31	49	7
"657_YPDRapa"	38	49	7
"658_YPDRapa"	93	91	32
"659_YPDRapa"	17	17	5
"660_YPDRapa"	23	15	6
"661_YPDRapa"	102	90	22
"662_YPDRapa"	13	22	3
"663_YPDRapa"	23	10	2
"664_YPDRapa"	23	31	5
"665_YPDRapa"	22	10	4
"666_YPDRapa"	19	20	4
"667_YPDRapa"	57	56	5
"668_YPDRapa"	28	61	12
"669_YPDRapa"	21	11	4
"670_YPDRapa"	18	17	6
"671_YPDRapa"	14	23	3
"672_YPDRapa"	28	40	8
"673_YPDRapa"	32	20	1
"674_YPDRapa"	13	22	7
"675_YPDRapa"	45	57	0
"676_YPDRapa"	59	49	8
"677_YPDRapa"	16	27	2
"678_YPDRapa"	20	17	7
"679_YPDRapa"	10	12	5
"680_YPDRapa"	131	121	31
"681_YPDRapa"	34	54	8
"682_YPDRapa"	36	47	7
"683_YPDRapa"	35	34	13
"684_YPDRapa"	18	13	2
"685_YPDRapa"	46	49	27
"686_YPDRapa"	68	61	7
"687_YPDRapa"	49	47	7
